Field Name                                        	Field Type          	Data Type 	Mask                	Length	None
CheckListBoxCanvases                              	TCheckListBox       	          	                    	250	F
EditSearch3                                       	TEdit               	string    	                    	0	F
SpecterNewComboBoxReportGroupSearch3              	TSpecterNewComboBox 	smallint  	                    	101	F
SpecterNewComboBoxPrinterGroupSearch3             	TSpecterNewComboBox 	smallint  	                    	33	F
SpecterNewComboBoxMenuItemFilterSearch3           	TSpecterNewComboBox 	smallint  	                    	300	F
SpecterNewComboBoxCanvasSearch3                   	TSpecterNewComboBox 	smallint  	                    	251	F
SpecterNewComboBoxRecipeItem1                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem2                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem3                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem4                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem5                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem6                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem7                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem8                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem9                     	TSpecterNewComboBox 	smallint  	                    	3	T
SpecterNewComboBoxRecipeItem10                    	TSpecterNewComboBox 	smallint  	                    	3	T
OvcNumericFieldQty1                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty2                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty3                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty4                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty5                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty6                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty7                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty8                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty9                               	TOvcNumericField    	          	###.###             	0	F
OvcNumericFieldQty10                              	TOvcNumericField    	          	###.###             	0	F
CheckBoxCostFromRecipe                            	TCheckBox           	boolean   	                    	0	F
EditSearch4                                       	TEdit               	string    	                    	0	F
SpecterNewComboBoxReportGroupSearch4              	TSpecterNewComboBox 	smallint  	                    	101	F
SpecterNewComboBoxPrinterGroupSearch4             	TSpecterNewComboBox 	smallint  	                    	33	F
SpecterNewComboBoxMenuItemFilterSearch4           	TSpecterNewComboBox 	smallint  	                    	300	F
SpecterNewComboBoxCanvasSearch4                   	TSpecterNewComboBox 	smallint  	                    	251	F
